JANUARY2024,34.0,3.0,11.0,19.0
FEBRUARY2024,8.0,0.0,6.0,38.0
MARCH2024,7.0,7.0,33.0,24.0
APRIL2024,16.0,34.0,30.0,15.0
MAY2024,7.0,18.0,38.0,7.0
JUNE2024,3.0,14.0,4.0,14.0
JULY2024,0.0,38.0,22.0,33.0
AUGUST2024,2.0,18.0,5.0,9.0
SEPTEMBER2024,2.0,25.0,17.0,12.0
OCTOBER2024,29.0,13.0,11.0,19.0
NOVEMBER2024,7.0,4.0,39.0,34.0
DECEMBER2024,0,0,0,0 
JANUARY2025,0,0,0,0 
FEBRUARY2025,0,0,0,0 
MARCH2025,0,0,0,0 
APRIL2025,0,0,0,0 
MAY2025,0,0,0,0 
JUNE2025,0,0,0,0 
JULY2025,0,0,0,0 
AUGUST2025,0,0,0,0 
SEPTEMBER2025,0,0,0,0 
OCTOBER2025,0,0,0,0 
